tt0004993|nm0507198|Frederick Lewis	
tt0009781|nm0400912	
tt0010678|nm7695862|Hedi Janowitz	
tt0010972|nm0656089|Leonard Pagden	
tt0011268|nm0383812|Betty Hilburn	
tt0012759|nm0085682|Lottie Blackford	
tt0013182|nm0210610|Georgette de Nove	
tt0015781|nm0033966|Clive Arden	
tt0018362|nm0566480|Pearl McCormack	
tt0021939|nm0750337|Gunborg Runsten	
tt0023038|nm0329294|Bert Goodrich	
tt0023346|nm0334706|Bengt-Olof Granberg	
tt0023346|nm0697511|Ragnhild Prim	
tt0023346|nm0750337|Gunborg Runsten	
tt0023346|nm0909436	
tt0023547|nm0922573|Ernst Westerberg	
tt0023658|nm0334706|Bengt-Olof Granberg	
tt0023664|nm0229281|Anders Djurberg	
tt0023824|nm0126476|Gustav Byström	
tt0023995|nm0101371|Nellie Bowman	
tt0024003|nm0922573|Ernst Westerberg	
tt0024055|nm0365692|Kathleen Harrison	
tt0024073|nm0165061|D.A. Clarke-Smith	
tt0024234|nm0126476|Gustav Byström	
tt0024321|nm0334706|Bengt-Olof Granberg	
tt0025936|nm0229281|Anders Djurberg	
tt0025936|nm0645034|Anna Olin	
tt0026741|nm0156304|'Slick' Chester	
tt0027016|nm0750337|Gunborg Runsten	
tt0027082|nm0293297|Bee Freeman	
tt0027241|nm0750337|Gunborg Runsten	
tt0027283|nm0002021	
tt0027572|nm0502111|Vera Lennox	
tt0028942|nm0886824|Dorothy Van Engle	
tt0029611|nm1303542|Ernest Roberts	
tt0029992|nm0533131|Barry MacKay	
tt0030637|nm0873754|Cecil Trouncer	
tt0030703|nm0710844|Guy Rapp	
tt0030747|nm0126476|Gustav Byström	
tt0031090|nm0906098|Ruth Wagner	
tt0031875|nm0344187|John C. Grubb	
tt0031999|nm0886824|Dorothy Van Engle	
tt0032138|nm0486538|Noel Langley	
tt0032429|nm0634334|O'Neill Nolan	
tt0033681|nm0743990|Erich Rossel	
tt0033694|nm0906098|Ruth Wagner	
tt0034698|nm0119602|Walter Buhse	
tt0034698|nm0796933|Hans Siegel	
tt0034947|nm0743990|Erich Rossel	
tt0034947|nm0906098|Ruth Wagner	
tt0034947|nm0955072	
tt0034947|nm0955230|Willy Zeunert	
tt0034947|nm2205829|Walter von Benedikt	
tt0035429|nm0288714|Harry Fowler	
tt0035508|nm2205829|Walter von Benedikt	
tt0035605|nm1303542|Ernest Roberts	
tt0035629|nm0110958	
tt0035629|nm0288877|Bebe Fox	
tt0035629|nm0740162	
tt0035629|nm0740162|Mel Ronson	
tt0035738|nm0182556|Grace Costello	
tt0035769|nm0394076|Hans Hopf	
tt0035802|nm0697511|Ragnhild Prim	
tt0035966|nm0884664|Lisl Valetti	
tt0035966|nm1303542|Ernest Roberts	
tt0036104|nm0344187|John C. Grubb	
tt0036198|nm0288877|Bebe Fox	
tt0036200|nm0740162|Mel Ronson	
tt0036281|nm0404971|Eva Hyde	
tt0036341|nm0233581|William Dorfman	
tt0036346|nm0414624|Roy Jacobs	
tt0036812|nm0796933|Hans Siegel	
tt0037086|nm0414624|Roy Jacobs	
tt0038008|nm0107213|Ernst Brengt	
tt0038390|nm0923664|Alan Wheatley	
tt0038574|nm0536114|Suria Magito	
tt0038639|nm0585044|Marion Michelle	
tt0038787|nm0233581|William Dorfman	
tt0039015|nm0466814|Charles Korvin	
tt0039169|nm0506079|Nate Levinson	
tt0039346|nm0937610|David Wold	
tt0039478|nm0288714|Harry Fowler	
